h-index,organization,type
27,skorokithakis,User
27,fabric8io,Organization
27,theforeman,Organization
27,SharePoint,Organization
27,tumblr,Organization
27,rvagg,User
27,vladocar,User
27,erica,User
27,dev-sec,Organization
27,uzh-rpg,Organization
27,domenic,User
27,liip,Organization
27,c9s,User
27,hollance,User
27,yegor256,User
27,defunctzombie,User
27,agiliq,Organization
27,globocom,Organization
27,camptocamp,Organization
27,rdegges,User
27,cnlohr,User
27,lh3,User
27,Wildhoney,User
27,jennybc,User
27,skx,User
27,syohex,User
27,macmade,User
27,hoaproject,Organization
27,auth0-samples,Organization
27,SpikeKing,User
27,JuliaStats,Organization
27,Seeed-Studio,Organization
27,hassio-addons,Organization
27,wso2,Organization
27,g0v,Organization
27,softprops,User
27,stormpath,Organization
27,codeschool,Organization
26,typicode,User
26,hexojs,Organization
26,Homebrew,Organization
26,junegunn,User
26,RocketChat,Organization
26,nuxt,Organization
26,Marak,User
26,felixrieseberg,User
26,dracula,Organization
26,karma-runner,Organization
26,EOSIO,Organization
26,xmartlabs,Organization
26,WebAssembly,Organization
26,karpathy,User
26,jordansissel,User
26,easychen,User
26,ai,User
26,fengyuanchen,User
26,umijs,Organization
26,jprichardson,User
26,benoitc,User
26,ahmetb,User
26,hybridgroup,Organization
26,notwaldorf,User
26,mislav,User
26,noffle,User
26,edx,Organization
26,ColinEberhardt,User
26,hyperoslo,Organization
26,pili-engineering,Organization
26,badoo,Organization
26,willianjusten,User
26,alecthomas,User
26,Piasy,User
26,krakjoe,User
26,bufferapp,Organization
26,mojombo,User
26,jwiegley,User
26,beyondcode,Organization
26,stefanprodan,User
26,AllenDowney,User
26,yyx990803,User
26,SublimeText,Organization
26,roman01la,User
26,delight-im,Organization
26,Gabriel439,User
26,clayallsopp,User
26,bradfitz,User
26,jlongster,User
26,propublica,Organization
26,bodil,User
26,codahale,User
26,maxmind,Organization
26,marty-suzuki,User
26,steventroughtonsmith,User
26,gdbinit,User
26,dart-archive,Organization
26,ktsn,User
26,Kikobeats,User
26,banzaicloud,Organization
26,bignerdranch,Organization
26,ms-iot,Organization
26,nsacyber,Organization
26,twolfson,User
26,netyouli,User
26,wwwtyro,User
26,rsc,User
26,lukechilds,User
26,elementary,Organization
26,haya14busa,User
26,amatsuda,User
26,drnic,User
26,zodiacon,User
26,googleads,Organization
26,jshttp,Organization
26,nodeschool,Organization
26,broadinstitute,Organization
26,neonichu,User
26,javaee,Organization
26,CoderJackyHuang,User
26,enthought,Organization
26,usnistgov,Organization
26,twtrubiks,User
26,hecomi,User
26,openSUSE,Organization
26,47deg,Organization
26,tutumcloud,Organization
26,segment-boneyard,Organization
26,pagarme,Organization
26,auraphp,Organization
26,mhausenblas,User
26,ANSSI-FR,Organization
26,upyun,Organization
26,tokuhirom,User
26,norbusan,User
26,spree-contrib,Organization
26,datadesk,Organization
26,VamshiIITBHU14,User
26,AdamBien,User
26,NordicPlayground,Organization
26,eddelbuettel,User
26,amfoss,Organization
25,jekyll,Organization
25,karan,User
25,nestjs,Organization
25,balderdashy,Organization
25,kriasoft,Organization
25,JedWatson,User
25,futurice,Organization
25,fastai,Organization
25,CarGuo,User
25,signalapp,Organization
25,CocoaPods,Organization
25,getgrav,Organization
25,petehunt,User
25,hehonghui,User
25,nhn,Organization
25,open-android,User
25,mrmrs,User
25,vega,Organization
25,adonisjs,Organization
25,rakyll,User
25,solid,Organization
25,ceph,Organization
25,shekhargulati,User
25,keybase,Organization
25,purescript,Organization
25,toddmotto,User
25,XiaoMi,Organization
25,flyerhzm,User
25,davecheney,User
25,h2oai,Organization
25,FrontendMasters,Organization
25,wp-cli,Organization
25,siddharthkp,User
25,PistonDevelopers,Organization
25,nearform,Organization
25,wooorm,User
25,sapegin,User
25,Kitware,Organization
25,christianalfoni,User
25,patriciogonzalezvivo,User
25,campoy,User
25,slackapi,Organization
25,tylermcginnis,User
25,ahmadawais,User
25,MicrosoftEdge,Organization
25,arunoda,User
25,rnystrom,User
25,iotaledger,Organization
25,acidanthera,Organization
25,blockstack,Organization
25,sonata-project,Organization
25,rangle,Organization
25,sendgrid,Organization
25,SublimeLinter,Organization
25,WebDevStudios,Organization
25,newrelic,Organization
25,duckduckgo,Organization
25,GSA,Organization
25,ipfs-shipyard,Organization
25,Icinga,Organization
25,samdark,User
25,miguelmota,User
25,camunda,Organization
25,training-center,Organization
25,JuliaDiffEq,Organization
25,jcoglan,User
25,uhub,Organization
25,kana,User
25,sonyxperiadev,User
25,hypriot,Organization
25,GPUOpen-LibrariesAndSDKs,Organization
25,benjojo,User
25,inamiy,User
25,jackfranklin,User
25,mercari,Organization
25,unixpickle,User
25,mitchtabian,User
25,keith,User
25,silverstripe,Organization
25,mirror,Organization
25,CHEF-KOCH,User
25,makinacorpus,Organization
25,shiffman,User
25,cemolcay,User
25,eclipse-ee4j,Organization
25,ezsystems,Organization
25,BosNaufal,User
25,2amigos,Organization
25,spbooks,Organization
25,erikdubois,User
25,hackedteam,User
25,saltstack-formulas,Organization
25,twitterdev,Organization
25,UlordChain,Organization
25,didinj,User
24,mrdoob,User
24,pypa,Organization
24,jobbole,Organization
24,hemanth,User
24,processing,Organization
24,roots,Organization
24,electron-userland,Organization
24,tuupola,User
24,nst,User
24,divio,Organization
24,tokio-rs,Organization
24,rse,User
24,weaveworks,Organization
24,romannurik,User
24,krzysztofzablocki,User
24,snowplow,Organization
24,ameizi,User
24,lancopku,Organization
24,contra,User
24,evancz,User
24,WP-API,Organization
24,mscdex,User
24,imagemin,Organization
24,threepointone,User
24,azat-co,User
24,shu223,User
24,Ocramius,User
24,RailsApps,Organization
24,ember-cli,Organization
24,FirebaseExtended,Organization
24,jlord,User
24,hitherejoe,User
24,whatwg,Organization
24,rentzsch,User
24,Fody,Organization
24,wireapp,Organization
24,kiegroup,Organization
24,ocaml,Organization
24,huytd,User
24,DavyJonesLocker,Organization
24,cheeaun,User
24,Urigo,User
24,victorqribeiro,User
24,loiane,User
24,AdoptOpenJDK,Organization
24,KittenYang,User
24,nekocode,User
24,schmittjoh,User
24,hprose,Organization
24,logstash-plugins,Organization
24,rwieruch,User
24,ThoughtWorksInc,Organization
24,japaric,User
24,harvardnlp,Organization
24,Webschool-io,Organization
24,uber-research,Organization
24,sjl,User
24,shama,User
24,chrisdickinson,User
24,MaiaVictor,User
24,willdurand,User
24,FGRibreau,User
24,chrisdone,User
24,metosin,Organization
24,jed,User
24,bugsnag,Organization
24,fatiherikli,User
